"year","team","conference","elo"
2022,"Oklahoma State","Big 12",1545
2022,"Old Dominion","Sun Belt",1314
2022,"Ole Miss","SEC",1634
2022,"Oregon","Pac-12",1724
2022,"Oregon State","Pac-12",1793
2022,"Penn State","Big Ten",2000
2022,"Pittsburgh","ACC",1687
2022,"Purdue","Big Ten",1460
2022,"Rice","Conference USA",1057
2022,"Rutgers","Big Ten",1182
2022,"San Diego State","Mountain West",1483
2022,"San José State","Mountain West",1444
2022,"SMU","American Athletic",1504
2022,"South Alabama","Sun Belt",1485
2022,"South Carolina","SEC",1620
2022,"Southern Miss","Sun Belt",1305
2022,"South Florida","American Athletic",1130
2022,"Stanford","Pac-12",1237
2022,"Syracuse","ACC",1464
2022,"TCU","Big 12",1729
2022,"Temple","American Athletic",1144
2022,"Tennessee","SEC",2000
2022,"Texas","Big 12",1900
2022,"Texas A&M","SEC",1629
2022,"Texas State","Sun Belt",1191
2022,"Texas Tech","Big 12",1633
2022,"Toledo","Mid-American",1495
2022,"Troy","Sun Belt",1585
2022,"Tulane","American Athletic",1710
2022,"Tulsa","American Athletic",1378
2022,"UAB","Conference USA",1515
2022,"UCF","American Athletic",1551
2022,"UCLA","Pac-12",1684
2022,"UConn","FBS Independents",1141
2022,"UL Monroe","Sun Belt",1117
2022,"UNLV","Mountain West",1275
2022,"USC","Pac-12",1745
2022,"Utah","Pac-12",1915
2022,"Utah State","Mountain West",1343
2022,"UTEP","Conference USA",1304
2022,"UTSA","Conference USA",1658
2022,"Vanderbilt","SEC",1234
2022,"Virginia","ACC",1340
2022,"Virginia Tech","ACC",1318
2022,"Wake Forest","ACC",1663
2022,"Washington","Pac-12",1760
2022,"Washington State","Pac-12",1587
2022,"Western Kentucky","Conference USA",1693
2022,"Western Michigan","Mid-American",1301
2022,"West Virginia","Big 12",1408
2022,"Wisconsin","Big Ten",1706
2022,"Wyoming","Mountain West",1364
2023,"Air Force","Mountain West",1608
2023,"Akron","Mid-American",1068
2023,"Alabama","SEC",2032
2023,"App State","Sun Belt",1617
2023,"Arizona","Pac-12",1822
2023,"Arizona State","Pac-12",1283
2023,"Arkansas","SEC",1431
2023,"Arkansas State","Sun Belt",1359
2023,"Army","FBS Independents",1388
2023,"Auburn","SEC",1585
2023,"Ball State","Mid-American",1262
2023,"Baylor","Big 12",1384
2023,"Boise State","Mountain West",1690
2023,"Boston College","ACC",1345
2023,"Bowling Green","Mid-American",1397
2023,"Buffalo","Mid-American",1286
2023,"BYU","Big 12",1364
2023,"California","Pac-12",1475
2023,"Central Michigan","Mid-American",1250
2023,"Charlotte","American Athletic",1055
2023,"Cincinnati","Big 12",1342
2023,"Clemson","ACC",1764
2023,"Coastal Carolina","Sun Belt",1423
2023,"Colorado","Pac-12",1237
2023,"Colorado State","Mountain West",1276
2023,"Duke","ACC",1654
2023,"East Carolina","American Athletic",1356
2023,"Eastern Michigan","Mid-American",1181
2023,"Florida","SEC",1594
2023,"Florida Atlantic","American Athletic",1383
2023,"Florida International","Conference USA",997
2023,"Florida State","ACC",1789
2023,"Fresno State","Mountain West",1588
2023,"Georgia","SEC",2273
2023,"Georgia Southern","Sun Belt",1326
2023,"Georgia State","Sun Belt",1375
2023,"Georgia Tech","ACC",1496
2023,"Hawai'i","Mountain West",1091
2023,"Houston","Big 12",1421
2023,"Illinois","Big Ten",1504
2023,"Indiana","Big Ten",1343
2023,"Iowa","Big Ten",1575
2023,"Iowa State","Big 12",1669
2023,"Jacksonville State","Conference USA",1558
2023,"James Madison","Sun Belt",1787
2023,"Kansas","Big 12",1679
2023,"Kansas State","Big 12",1942
2023,"Kent State","Mid-American",987
2023,"Kentucky","SEC",1641
2023,"Liberty","Conference USA",1609
2023,"Louisiana","Sun Belt",1494
2023,"Louisiana Tech","Conference USA",1119
2023,"Louisville","ACC",1688
2023,"LSU","SEC",1985
2023,"Marshall","Sun Belt",1360
2023,"Maryland","Big Ten",1695
2023,"Massachusetts","FBS Independents",962
2023,"Memphis","American Athletic",1604
2023,"Miami","ACC",1580
2023,"Miami (OH)","Mid-American",1509
2023,"Michigan","Big Ten",2210
2023,"Michigan State","Big Ten",1338
2023,"Middle Tennessee","Conference USA",1351
2023,"Minnesota","Big Ten",1488
2023,"Mississippi State","SEC",1421
2023,"Missouri","SEC",1866
2023,"Navy","American Athletic",1302
2023,"NC State","ACC",1660
2023,"Nebraska","Big Ten",1511
2023,"Nevada","Mountain West",1083
2023,"New Mexico","Mountain West",1102
2023,"New Mexico State","Conference USA",1399
2023,"North Carolina","ACC",1569
2023,"Northern Illinois","Mid-American",1420
2023,"North Texas","American Athletic",1369
2023,"Northwestern","Big Ten",1498
2023,"Notre Dame","FBS Independents",2077
2023,"Ohio","Mid-American",1533
2023,"Ohio State","Big Ten",2065
2023,"Oklahoma","Big 12",1930
2023,"Oklahoma State","Big 12",1533
2023,"Old Dominion","Sun Belt",1359
2023,"Ole Miss","SEC",1737
2023,"Oregon","Pac-12",2106
2023,"Oregon State","Pac-12",1722
2023,"Penn State","Big Ten",2000
2023,"Pittsburgh","ACC",1404
2023,"Purdue","Big Ten",1489
2023,"Rice","American Athletic",1294
2023,"Rutgers","Big Ten",1441
2023,"Sam Houston","Conference USA",1332
2023,"San Diego State","Mountain West",1375
2023,"San José State","Mountain West",1566
2023,"SMU","American Athletic",1785
2023,"South Alabama","Sun Belt",1725
2023,"South Carolina","SEC",1594
