"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"Syracuse","ACC",12,21110,250,408,2887,23,7,501,1848,16,4735,9,16,239,206,78,11,28,107,887,35,649,0,16,137,0,13,163,1
2019,"UTSA","Conference USA",12,21119,213,366,2189,13,11,452,1950,15,4139,12,23,216,181,65,17,31,89,829,35,652,0,24,52,0,6,91,2
2019,"Alabama","SEC",13,23390,287,406,4449,49,6,436,2191,27,6640,4,10,318,153,80,13,19,95,855,31,637,1,24,531,3,17,245,2
2019,"Florida","SEC",13,23536,317,467,3910,33,10,398,1687,21,5597,8,18,297,158,65,16,26,67,618,10,184,0,15,68,0,16,160,0
2019,"TCU","Big 12",12,23704,211,394,2444,15,10,510,2448,23,4892,9,19,257,201,94,5,11,78,736,33,535,0,18,319,2,16,228,1
2019,"Stanford","Pac-12",12,23174,274,442,3122,18,8,348,1286,8,4408,5,13,236,166,64,5,14,75,591,32,770,0,14,93,1,8,15,0
2019,"Temple","American Athletic",13,22807,282,472,3312,25,13,479,1784,16,5096,7,20,263,201,76,15,36,92,801,40,781,0,13,68,0,8,110,1
2019,"Miami","ACC",13,23558,255,437,3239,27,10,407,1535,16,4774,7,17,252,164,44,13,25,91,782,25,511,0,21,299,0,10,136,0
2019,"Troy","Sun Belt",12,20726,316,491,3758,30,11,402,1717,19,5475,7,18,295,177,83,13,23,64,597,45,929,1,11,16,0,11,130,2
2019,"Tulsa","American Athletic",12,22070,254,444,3376,20,9,503,1660,18,5036,10,19,263,207,88,13,23,109,949,29,495,0,14,58,0,5,37,0
2019,"Akron","Mid-American",12,19072,204,398,2344,12,14,327,562,2,2906,12,26,156,161,42,7,23,81,628,40,859,0,12,35,0,5,120,1
